,R,F,M,T,D
1,0,13,3250,28,1
2,1,16,4000,35,1
3,2,20,5000,45,1
4,1,24,6000,77,0
5,4,4,1000,4,0
6,2,7,1750,14,1
7,1,12,3000,35,0
8,2,9,2250,22,1
9,5,46,11500,98,1
10,0,3,750,4,0
11,2,10,2500,28,1
12,1,13,3250,47,0
13,2,6,1500,15,1
14,2,5,1250,11,1
15,2,14,3500,48,1
16,2,15,3750,49,1
17,2,6,1500,15,1
18,2,3,750,4,1
19,2,6,1500,16,1
20,2,6,1500,16,1
21,9,9,2250,16,0
22,4,14,3500,40,0
23,4,6,1500,14,0
24,4,12,3000,34,1
25,4,5,1250,11,1
26,4,8,2000,21,0
27,1,14,3500,58,0
28,4,10,2500,28,1
29,4,10,2500,28,1
30,4,9,2250,26,1
31,2,16,4000,64,0
32,2,8,2000,28,1
33,2,12,3000,47,1
34,4,6,1500,16,1
35,2,14,3500,57,1
36,2,5,1250,16,0
37,2,5,1250,16,1
38,2,5,1250,16,0
39,4,9,2250,28,1
40,2,9,2250,36,0
41,2,2,500,2,0
42,2,2,500,2,0
43,2,6,1500,22,0
44,4,5,1250,14,1
45,4,19,4750,69,1
46,4,8,2000,26,1
47,2,7,1750,28,1
48,2,16,4000,81,0
49,3,6,1500,21,0
50,2,8,2000,35,1
51,4,5,1250,16,1
52,2,3,750,9,1
53,3,16,4000,74,0
54,0,2,500,4,0
55,1,9,2250,51,0
56,2,4,1000,16,0
57,2,4,1000,16,0
58,4,17,4250,71,1
59,2,2,500,4,0
60,2,2,500,4,1
61,2,2,500,4,1
62,2,4,1000,16,1
63,2,2,500,4,0
64,2,2,500,4,0
65,2,2,500,4,0
66,4,6,1500,23,1
67,2,4,1000,16,0
68,2,4,1000,16,0
69,2,4,1000,16,0
70,2,6,1500,28,1
71,2,6,1500,28,0
72,4,2,500,4,0
73,2,7,1750,35,1
74,4,2,500,4,1
75,4,2,500,4,0
76,4,2,500,4,0
77,4,2,500,4,0
78,12,11,2750,23,0
79,4,9,2250,38,1
80,4,4,1000,14,1
81,5,7,1750,26,1
82,4,9,2250,40,0
83,2,5,1250,26,0
84,2,5,1250,26,0
85,6,17,4250,70,0
86,0,8,2000,59,0
87,3,5,1250,26,0
88,2,3,750,14,0
89,2,10,2500,64,0
90,4,5,1250,23,1
91,4,9,2250,46,0
92,4,5,1250,23,0
93,11,24,6000,64,0
94,2,7,1750,46,1
95,4,11,2750,61,0
96,1,7,1750,57,0
97,2,11,2750,79,1
98,2,3,750,16,1
99,4,5,1250,26,1
100,2,6,1500,41,1
101,2,4,1000,26,0
102,2,5,1250,34,0
103,4,8,2000,46,1
104,2,4,1000,26,0
105,4,8,2000,48,1
106,2,2,500,10,1
107,2,12,3000,95,0
108,4,6,1500,35,0
109,2,11,2750,88,0
110,2,3,750,19,0
111,2,5,1250,37,0
112,9,5,1250,19,0
113,5,14,3500,86,0
114,4,3,750,16,0
115,4,3,750,16,0
116,4,2,500,9,1
117,4,3,750,16,1
118,6,3,750,14,0
119,2,2,500,11,0
120,2,2,500,11,1
121,2,2,500,11,0
122,4,6,1500,39,0
123,2,1,250,2,1
124,2,1,250,2,0
125,2,1,250,2,0
126,2,1,250,2,0
127,2,1,250,2,0
128,2,1,250,2,0
129,2,1,250,2,0
130,2,1,250,2,1
131,2,1,250,2,1
132,2,1,250,2,0
133,2,1,250,2,0
134,2,1,250,2,0
135,2,1,250,2,0
136,2,1,250,2,0
137,2,1,250,2,0
138,2,1,250,2,0
139,2,1,250,2,0
140,11,10,2500,35,0
141,11,4,1000,16,1
142,4,5,1250,33,1
143,4,6,1500,41,1
144,2,4,1000,35,0
145,4,12,3000,88,0
146,13,8,2000,26,0
147,4,5,1250,34,0
148,4,4,1000,26,0
149,4,5,1250,35,1
150,4,7,1750,52,0
151,4,7,1750,52,0
152,11,11,2750,42,0
153,2,5,1250,47,1
154,9,8,2000,38,1
155,4,6,1500,47,0
156,11,7,1750,29,0
157,9,9,2250,45,0
158,4,7,1750,58,0
159,6,2,500,11,1
160,4,7,1750,58,0
161,11,9,2250,38,0
162,11,6,1500,26,0
163,2,2,500,16,0
164,2,7,1750,76,0
165,11,6,1500,27,0
166,11,3,750,14,0
167,4,1,250,4,0
168,4,1,250,4,0
169,4,1,250,4,0
170,4,1,250,4,1
171,4,1,250,4,0
172,4,1,250,4,0
173,4,1,250,4,0
174,4,1,250,4,0
175,4,1,250,4,0
176,4,1,250,4,1
177,4,1,250,4,1
178,4,1,250,4,0
179,4,1,250,4,1
180,4,1,250,4,1
181,4,1,250,4,0
182,4,3,750,24,0
183,4,1,250,4,0
184,4,1,250,4,0
185,4,1,250,4,0
186,4,1,250,4,1
187,4,1,250,4,0
188,10,8,2000,39,0
189,14,7,1750,26,0
190,8,10,2500,63,0
191,11,3,750,15,0
192,2,4,1000,43,0
193,8,9,2250,58,0
194,8,8,2000,52,1
195,11,22,5500,98,0
196,4,3,750,25,1
197,11,17,4250,79,1
198,9,2,500,11,0
199,11,12,3000,58,0
200,7,12,3000,86,0
201,11,2,500,11,0
202,11,2,500,11,0
203,2,6,1500,75,0
204,11,3,750,16,1
205,12,13,3250,59,0
206,2,3,750,35,0
207,11,7,1750,37,0
208,4,3,750,28,0
209,4,4,1000,41,0
210,11,14,3500,73,1
211,2,2,500,23,0
212,2,3,750,38,1
213,4,5,1250,58,0
214,4,7,1750,82,0
215,13,4,1000,21,0
216,16,11,2750,40,0
217,16,7,1750,28,0
218,7,2,500,16,0
219,4,5,1250,58,0
220,4,5,1250,58,0
221,4,4,1000,46,0
222,14,13,3250,57,0
223,4,3,750,34,0
224,11,8,2000,48,0
225,14,16,4000,70,0
226,14,4,1000,22,1
227,14,5,1250,26,0
228,8,2,500,16,0
229,11,5,1250,33,0
230,11,2,500,14,0
231,4,2,500,23,0
232,9,2,500,16,1
233,14,3,750,19,1
234,14,4,1000,23,1
235,16,12,3000,50,0
236,11,5,1250,35,0
237,11,5,1250,35,0
238,2,4,1000,70,0
239,14,5,1250,28,0
240,14,2,500,14,0
241,14,2,500,14,0
242,14,2,500,14,0
243,14,2,500,14,0
244,14,2,500,14,0
245,2,3,750,52,0
246,14,6,1500,34,0
247,11,5,1250,37,1
248,4,5,1250,74,0
249,16,3,750,19,0
250,11,5,1250,38,0
251,12,9,2250,60,0
252,9,1,250,9,0
253,9,1,250,9,0
254,11,9,2250,72,1
255,11,5,1250,41,0
256,9,5,1250,51,1
257,11,4,1000,34,0
258,14,8,2000,50,1
259,16,7,1750,38,0
260,2,2,500,41,0
261,14,16,4000,98,0
262,14,4,1000,28,1
263,16,7,1750,39,0
264,14,7,1750,47,0
265,16,6,1500,35,0
266,16,6,1500,35,1
267,16,2,500,16,0
268,11,3,750,28,0
269,11,1,250,11,1
270,9,3,750,34,0
271,23,38,9500,98,0
272,11,6,1500,58,0
273,11,1,250,11,0
274,11,1,250,11,0
275,11,1,250,11,0
276,11,1,250,11,0
277,11,1,250,11,0
278,11,1,250,11,0
279,11,2,500,21,0
280,11,5,1250,50,0
281,16,4,1000,28,0
282,4,2,500,41,0
283,16,6,1500,40,0
284,14,3,750,26,0
285,9,2,500,26,0
286,21,16,4000,64,0
287,14,6,1500,51,0
288,11,2,500,24,0
289,4,3,750,71,0
290,21,13,3250,57,0
291,11,6,1500,71,0
292,14,2,500,21,1
293,23,15,3750,57,0
294,14,4,1000,38,0
295,16,5,1250,40,1
296,4,2,500,51,1
297,14,3,750,31,0
298,4,2,500,52,0
299,9,4,1000,65,0
300,14,4,1000,40,0
301,14,1,250,14,0
302,14,1,250,14,0
303,14,1,250,14,0
304,14,1,250,14,0
305,14,1,250,14,0
306,14,1,250,14,0
307,14,1,250,14,0
308,14,1,250,14,0
309,14,7,1750,72,0
310,14,1,250,14,0
311,9,3,750,52,0
312,14,7,1750,73,0
313,11,4,1000,58,0
314,4,2,500,59,0
315,11,4,1000,61,0
316,16,4,1000,40,0
317,16,10,2500,89,0
318,21,2,500,21,1
319,21,3,750,26,0
320,16,8,2000,76,0
321,21,3,750,26,1
322,18,2,500,23,0
323,23,5,1250,33,0
324,23,8,2000,46,0
325,14,5,1250,64,0
326,14,3,750,41,0
327,16,1,250,16,0
328,16,1,250,16,0
329,16,1,250,16,0
330,16,1,250,16,0
331,16,1,250,16,0
332,16,4,1000,45,0
333,16,1,250,16,0
334,16,1,250,16,0
335,16,1,250,16,0
336,16,1,250,16,0
337,16,2,500,27,0
338,21,2,500,23,0
339,21,2,500,23,0
340,14,4,1000,57,0
341,16,5,1250,60,0
342,23,2,500,23,0
343,14,5,1250,74,0
344,23,3,750,28,0
345,16,3,750,40,0
346,9,2,500,52,0
347,16,7,1750,87,1
348,14,4,1000,64,0
349,14,2,500,35,0
350,16,7,1750,93,0
351,21,2,500,25,0
352,14,3,750,52,0
353,18,8,2000,95,0
354,16,3,750,46,0
355,11,3,750,76,0
356,11,2,500,52,0
357,11,3,750,76,0
358,23,12,3000,86,0
359,23,2,500,26,0
360,16,3,750,50,0
361,23,3,750,33,0
362,21,1,250,21,0
363,21,1,250,21,0
364,21,1,250,21,0
365,21,1,250,21,0
366,21,1,250,21,0
367,21,1,250,21,0
368,21,1,250,21,0
369,21,1,250,21,1
370,21,1,250,21,0
371,21,1,250,21,0
372,21,5,1250,60,0
373,21,4,1000,52,0
374,22,1,250,22,1
375,11,2,500,70,0
376,23,5,1250,58,0
377,23,3,750,40,0
378,23,3,750,41,0
379,14,3,750,83,0
380,21,2,500,35,0
381,26,5,1250,49,1
382,23,6,1500,70,0
383,23,1,250,23,0
384,23,1,250,23,0
385,23,1,250,23,0
386,23,1,250,23,0
387,23,1,250,23,0
388,23,1,250,23,0
389,23,1,250,23,0
390,23,1,250,23,0
391,23,4,1000,53,0
392,21,6,1500,86,0
393,23,3,750,48,0
394,21,2,500,41,0
395,21,3,750,64,0
396,16,2,500,70,0
397,21,3,750,70,0
398,23,4,1000,87,0
399,23,3,750,89,0
400,23,2,500,87,0
401,35,3,750,64,0
402,38,1,250,38,0
403,38,1,250,38,0
404,40,1,250,40,0
405,74,1,250,74,0
406,2,43,10750,86,1
407,6,22,5500,28,1
408,2,34,8500,77,1
409,2,44,11000,98,0
410,0,26,6500,76,1
411,2,41,10250,98,1
412,3,21,5250,42,1
413,2,11,2750,23,0
414,2,21,5250,52,1
415,2,13,3250,32,1
416,4,4,1000,4,1
417,2,11,2750,26,0
418,2,11,2750,28,0
419,3,14,3500,35,0
420,4,16,4000,38,1
421,4,6,1500,14,0
422,3,5,1250,12,1
423,4,33,8250,98,1
424,3,10,2500,33,1
425,4,10,2500,28,1
426,2,11,2750,40,1
427,2,11,2750,41,1
428,4,13,3250,39,1
429,1,10,2500,43,1
430,4,9,2250,28,0
431,2,4,1000,11,0
432,2,5,1250,16,1
433,2,15,3750,64,0
434,5,24,6000,79,0
435,2,6,1500,22,1
436,4,5,1250,16,1
437,2,4,1000,14,1
438,4,8,2000,28,0
439,2,4,1000,14,0
440,2,6,1500,26,0
441,4,5,1250,16,1
442,2,7,1750,32,1
443,2,6,1500,26,1
444,2,8,2000,38,1
445,2,2,500,4,1
446,2,6,1500,28,1
447,2,10,2500,52,0
448,4,16,4000,70,1
449,4,2,500,4,1
450,1,14,3500,95,0
451,4,2,500,4,1
452,7,14,3500,48,0
453,2,3,750,11,0
454,2,12,3000,70,1
455,4,7,1750,32,1
456,4,4,1000,16,0
457,2,6,1500,35,1
458,4,6,1500,28,1
459,2,3,750,14,0
460,2,4,1000,23,0
461,4,4,1000,18,0
462,5,6,1500,28,0
463,4,6,1500,30,0
464,14,5,1250,14,0
465,3,8,2000,50,0
466,4,11,2750,64,1
467,4,9,2250,52,0
468,4,16,4000,98,1
469,7,10,2500,47,0
470,4,14,3500,86,0
471,2,9,2250,75,0
472,4,6,1500,35,0
473,4,9,2250,55,0
474,4,6,1500,35,1
475,2,6,1500,45,0
476,2,6,1500,47,0
477,4,2,500,9,0
478,2,2,500,11,1
479,2,2,500,11,0
480,2,2,500,11,1
481,4,6,1500,38,1
482,3,4,1000,29,1
483,9,9,2250,38,0
484,11,5,1250,18,0
485,2,3,750,21,0
486,2,1,250,2,0
487,2,1,250,2,1
488,2,1,250,2,0
489,2,1,250,2,0
490,2,1,250,2,0
491,2,1,250,2,0
492,2,1,250,2,1
493,2,1,250,2,0
494,2,1,250,2,0
495,2,1,250,2,0
496,2,1,250,2,0
497,11,11,2750,38,0
498,2,3,750,22,0
499,9,11,2750,49,1
500,5,11,2750,75,0
501,3,5,1250,38,0
502,3,1,250,3,1
503,4,6,1500,43,0
504,2,3,750,24,0
505,12,11,2750,39,0
506,2,2,500,14,0
507,4,6,1500,46,0
508,9,3,750,14,0
509,14,8,2000,26,0
510,4,2,500,13,0
511,4,11,2750,95,0
512,2,7,1750,77,0
513,2,7,1750,77,0
514,4,1,250,4,0
515,4,1,250,4,0
516,4,1,250,4,0
517,4,1,250,4,0
518,4,1,250,4,1
519,4,1,250,4,0
520,4,1,250,4,0
521,4,1,250,4,0
522,4,1,250,4,0
523,4,1,250,4,0
524,4,1,250,4,1
525,4,1,250,4,0
526,4,7,1750,62,0
527,4,1,250,4,0
528,4,4,1000,34,1
529,11,6,1500,28,0
530,13,3,750,14,1
531,7,5,1250,35,0
532,9,9,2250,54,0
533,11,2,500,11,0
534,2,5,1250,63,0
535,7,11,2750,89,0
536,8,9,2250,64,0
537,2,2,500,22,0
538,6,3,750,26,0
539,12,15,3750,71,0
540,13,3,750,16,0
541,11,16,4000,89,0
542,4,5,1250,58,0
543,14,7,1750,35,0
544,11,4,1000,27,0
545,7,9,2250,89,1
546,11,8,2000,52,1
547,7,5,1250,52,0
548,11,6,1500,41,0
549,10,5,1250,38,0
550,14,2,500,14,1
551,14,2,500,14,0
552,14,2,500,14,0
553,2,2,500,33,0
554,11,3,750,23,0
555,14,8,2000,46,0
556,9,1,250,9,0
557,16,5,1250,27,0
558,14,4,1000,26,0
559,4,2,500,30,0
560,14,3,750,21,0
561,16,16,4000,77,0
562,4,2,500,31,0
563,14,8,2000,50,0
564,11,3,750,26,0
565,14,7,1750,45,0
566,15,5,1250,33,0
567,16,2,500,16,0
568,16,3,750,21,0
569,11,8,2000,72,0
570,11,1,250,11,0
571,11,1,250,11,0
572,11,1,250,11,0
573,11,1,250,11,1
574,11,1,250,11,0
575,2,3,750,75,1
576,2,3,750,77,0
577,16,4,1000,28,0
578,16,15,3750,87,0
579,16,14,3500,83,0
580,16,10,2500,62,0
581,16,3,750,23,0
582,14,3,750,26,0
583,23,19,4750,62,0
584,11,7,1750,75,0
585,14,3,750,28,0
586,20,14,3500,69,1
587,4,2,500,46,0
588,11,2,500,25,0
589,11,3,750,37,0
590,16,4,1000,33,0
591,21,7,1750,38,0
592,13,7,1750,76,0
593,16,6,1500,50,0
594,14,3,750,33,0
595,14,1,250,14,0
596,14,1,250,14,0
597,14,1,250,14,0
598,14,1,250,14,0
599,14,1,250,14,0
600,14,1,250,14,0
601,17,7,1750,58,1
602,14,3,750,35,0
603,14,3,750,35,0
604,16,7,1750,64,0
605,21,2,500,21,0
606,16,3,750,35,0
607,16,1,250,16,0
608,16,1,250,16,0
609,16,1,250,16,0
610,16,1,250,16,0
611,16,1,250,16,0
612,14,2,500,29,0
613,11,4,1000,74,0
614,11,2,500,38,1
615,21,6,1500,48,0
616,23,2,500,23,0
617,23,6,1500,45,0
618,14,2,500,35,1
619,16,6,1500,81,0
620,16,4,1000,58,0
621,16,5,1250,71,0
622,21,2,500,26,0
623,21,3,750,35,0
624,21,3,750,35,0
625,23,8,2000,69,0
626,21,3,750,38,0
627,23,3,750,35,0
628,21,3,750,40,0
629,23,2,500,28,0
630,21,1,250,21,0
631,21,1,250,21,0
632,25,6,1500,50,0
633,21,1,250,21,0
634,21,1,250,21,0
635,23,3,750,39,0
636,21,2,500,33,0
637,14,3,750,79,0
638,23,1,250,23,1
639,23,1,250,23,0
640,23,1,250,23,0
641,23,1,250,23,0
642,23,1,250,23,0
643,23,1,250,23,0
644,23,1,250,23,0
645,23,4,1000,52,0
646,23,1,250,23,0
647,23,7,1750,88,0
648,16,3,750,86,0
649,23,2,500,38,0
650,21,2,500,52,0
651,23,3,750,62,0
652,39,1,250,39,0
653,72,1,250,72,0
